"day","npass","ncrew","cruise_number"
1,2,0,"1"
2,9,0,"1"
3,13,0,"1"
4,10,3,"1"
5,84,5,"1"
6,39,7,"1"
7,15,6,"1"
8,3,7,"1"
9,25,5,"2"
10,56,4,"2"
11,38,1,"2"
12,36,4,"2"
13,17,1,"2"
14,14,0,"2"
15,6,1,"2"
16,0,0,"break"
17,0,0,"break"
18,0,0,"break"
19,0,0,"break"
20,0,0,"break"
21,0,0,"break"
22,0,0,"break"
23,11,0,"3"
24,6,0,"3"
25,17,0,"3"
26,10,2,"3"
27,5,3,"3"
28,6,1,"3"
29,4,0,"3"
30,4,0,"4"
31,5,1,"4"
32,5,3,"4"
33,10,2,"4"
34,3,1,"4"
35,1,0,"4"
36,1,0,"4"
37,7,0,"5"
38,10,1,"5"
39,7,0,"5"
40,4,0,"5"
41,3,1,"5"
42,3,0,"5"
43,3,2,"5"
44,7,2,"6"
45,4,0,"6"
46,2,1,"6"
47,4,2,"6"
48,4,0,"6"
49,1,1,"6"
50,0,0,"6"
